stop_id,agency,name,lat,lon,coord_source,stop_type,interchange_group_id,route_codes,sources,scraped_at
municipal_bus-4676,municipal_bus,Telephone Training Center (Chharodi),23.115998,72.536613,municipal_bus_api,MUNICIPAL_BUS,,"[""64/1-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-2991,municipal_bus,Telephone Training Centre (Ambawadi),23.048135,72.524631,municipal_bus_api,MUNICIPAL_BUS,ix-0507,"[""51Ri-T-U"",""51Ri-U"",""51sh-LS-U"",""51sh-U"",""55-U"",""51T-KT-U"",""51T-U"",""52/2-U"",""66/1-U"",""66/1-US-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-1629,municipal_bus,Telephone Training Centre (Chharodi),23.115973,72.53665,municipal_bus_api,MUNICIPAL_BUS,,"[""63/1-VL-U"",""63/1-U"",""501-U"",""501-SaP-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-3762,municipal_bus,Texell Industry,23.121118,72.460585,municipal_bus_api,MUNICIPAL_BUS,ix-0508,"[""65/2-U"",""66/3sh-U"",""55-U"",""66/3-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-3442,municipal_bus,Thakkarnagar,23.040243,72.642923,municipal_bus_api,MUNICIPAL_BUS,,"[""79-CB-D"",""79-D"",""79-VB-D"",""79-VS-D"",""150sh-KB-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-2486,municipal_bus,Thakkarnagar Approach,23.038498,72.642116,municipal_bus_api,MUNICIPAL_BUS,,"[""39/3-U"",""135-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-8637,municipal_bus,Thakkarnagar Approach (BRT),23.041145,72.640561,municipal_bus_api,MUNICIPAL_BUS,ix-0509,[],"[""municipal_bus_api"",""osm""]",2026-06-29T18:14:59+00:00
municipal_bus-3441,municipal_bus,Thakkarnagar Char Rasta,23.039693,72.641075,municipal_bus_api,MUNICIPAL_BUS,,"[""79-CB-D"",""79-D"",""79-VB-D"",""79-VS-D"",""150sh-KB-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-8171,municipal_bus,Thakor vas,23.153825,72.407771,municipal_bus_api,MUNICIPAL_BUS,,"[""40-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-8746,municipal_bus,Thakor vas (Sanand),,,,MUNICIPAL_BUS,,"[""138/1-IM-U"",""138/1-LM-U"",""138/1-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-2994,municipal_bus,Thakorvas,23.05002,72.512458,municipal_bus_api,MUNICIPAL_BUS,,"[""205-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-1616,municipal_bus,Thaltej Char Rasta,23.050513,72.51734,municipal_bus_api,MUNICIPAL_BUS,,"[""204-U"",""501-U"",""501-SG-U"",""501-SaP-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-2995,municipal_bus,Thaltej Gam,23.050366,72.508022,municipal_bus_api,MUNICIPAL_BUS,ix-0587,"[""51Ri-T-U"",""51Ri-U"",""58-KaT-D"",""51sh-LS-U"",""51sh-U"",""51T-KT-U"",""51T-U"",""58-D"",""66/1-U"",""66/1-US-U"",""205-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-6217,municipal_bus,Thaltej Metro Station,23.049893,72.516542,municipal_bus_api,MUNICIPAL_BUS,ix-0588,"[""60sh-U"",""Metro1-U"",""Metro2-D"",""Metro3-U"",""Metro4-D"",""Metro5-U"",""Metro6-D"",""Metro7-U"",""Metro8-D"",""SF1-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-8962,municipal_bus,Thaltej-Shilaj Railway Over Bridge,23.052298,72.482889,municipal_bus_api,MUNICIPAL_BUS,,"[""51Ri-T-U"",""51Ri-U"",""51sh-LS-U"",""51sh-U"",""51T-KT-U"",""51T-U"",""66-U"",""66/1-U"",""66/1-US-U"",""Metro3-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-1304,municipal_bus,The Arena (Abad Dairy),23.009843,72.599133,municipal_bus_api,MUNICIPAL_BUS,ix-0544,"[""152Sh-U"",""16-D"",""16-SM-D"",""16-SV-D"",""17-D"",""22/1-LD-U"",""32-U"",""42-D"",""42-LN-D"",""42sh-D"",""72-D"",""72-LS-D"",""72-VS-D"",""128-NM-D"",""128-D"",""128-MN-D"",""151-IH-U"",""151-U"",""151sh-U"",""152-U"",""151/3-GH-U"",""151/3-U"",""151/4-U"",""152/1-LH-U"",""152/1-RG-U"",""152/1-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-4744,municipal_bus,Thirupurnagar Society,23.066818,72.566923,municipal_bus_api,MUNICIPAL_BUS,,"[""74/1-U"",""74/1-VK-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-9303,municipal_bus,Thol Gam (Saradar Chowk),,,,MUNICIPAL_BUS,,"[""52-U"",""52-VT-U"",""51T-KT-U"",""51T-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-2159,municipal_bus,Tilakbag,23.021846,72.580751,municipal_bus_api,MUNICIPAL_BUS,ix-0258,"[""13/1-U"",""14-D"",""14-DL-D"",""14-VL-D"",""14/1-D"",""14/1-IL-D"",""14sh-D"",""22/1-DL-D"",""22sh-D"",""33-ML-D"",""32-D"",""33-D"",""42-U"",""37sh-D"",""42-NL-U"",""42sh-U"",""103-D"",""110-D"",""123-D"",""123-SLa-D"",""123sh-D"",""123sh-SL-D"",""13/1sh-U"",""133-D"",""135-D"",""138-BL-U"",""138-U"",""142-LG-U"",""142-U"",""142sh-U"",""152-D"",""152Sh-D"",""144/1-D"",""151/4-D"",""152/1-D"",""152/1-HL-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-5935,municipal_bus,Time Square Grand,23.04076,72.49916,municipal_bus_api,MUNICIPAL_BUS,,"[""43-VT-U"",""42-U"",""42-LS-U"",""43-U"",""Metro4-D"",""PF1-U"",""Metro7-U"",""SF1-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-4025,municipal_bus,Tin Darwaja,23.024454,72.584551,municipal_bus_api,MUNICIPAL_BUS,,"[""3sh-U"",""3sh-BK-U"",""3-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-6263,municipal_bus,Tintoda Cross Road,23.201554,72.545449,municipal_bus_api,MUNICIPAL_BUS,,"[""503-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
