agency,from_stop_id,to_stop_id,median_minutes,sample_count
municipal_bus,municipal_bus-2933,municipal_bus-2934,1.4,5
municipal_bus,municipal_bus-2934,municipal_bus-2051,1.8,5
municipal_bus,municipal_bus-2051,municipal_bus-2111,0.8,4
municipal_bus,municipal_bus-2111,municipal_bus-2052,1.9,4
municipal_bus,municipal_bus-2052,municipal_bus-2053,1.3,8
municipal_bus,municipal_bus-2053,municipal_bus-2054,1.4,8
municipal_bus,municipal_bus-2054,municipal_bus-2055,1.5,8
municipal_bus,municipal_bus-2055,municipal_bus-2056,1.8,8
municipal_bus,municipal_bus-2056,municipal_bus-2057,1.5,8
municipal_bus,municipal_bus-2057,municipal_bus-4124,1.8,2
municipal_bus,municipal_bus-4124,municipal_bus-1295,3.9,2
municipal_bus,municipal_bus-1295,municipal_bus-1941,3.1,31
municipal_bus,municipal_bus-1941,municipal_bus-1297,2.1,36
municipal_bus,municipal_bus-1297,municipal_bus-3812,1.9,5
municipal_bus,municipal_bus-3812,municipal_bus-2155,2.2,24
municipal_bus,municipal_bus-2155,municipal_bus-2229,1.8,24
municipal_bus,municipal_bus-2229,municipal_bus-2153,1.9,23
municipal_bus,municipal_bus-2153,municipal_bus-2152,1.5,4
municipal_bus,municipal_bus-2152,municipal_bus-2944,1.4,4
municipal_bus,municipal_bus-2944,municipal_bus-2150,1.4,4
municipal_bus,municipal_bus-2150,municipal_bus-2149,1.6,16
municipal_bus,municipal_bus-2149,municipal_bus-2235,1.6,11
municipal_bus,municipal_bus-2235,municipal_bus-2236,1.9,19
municipal_bus,municipal_bus-2236,municipal_bus-4418,1.3,2
municipal_bus,municipal_bus-4418,municipal_bus-4379,2.0,2
municipal_bus,municipal_bus-4379,municipal_bus-4378,1.4,7
municipal_bus,municipal_bus-4378,municipal_bus-1307,1.1,7
municipal_bus,municipal_bus-1307,municipal_bus-1308,1.4,2
municipal_bus,municipal_bus-1308,municipal_bus-1309,1.6,2
municipal_bus,municipal_bus-1309,municipal_bus-1329,2.5,3
municipal_bus,municipal_bus-1204,municipal_bus-1490,3.2,11
municipal_bus,municipal_bus-1490,municipal_bus-1486,1.8,18
municipal_bus,municipal_bus-1486,municipal_bus-1492,1.3,23
municipal_bus,municipal_bus-1492,municipal_bus-1484,2.0,12
municipal_bus,municipal_bus-1484,municipal_bus-1483,1.6,12
municipal_bus,municipal_bus-1483,municipal_bus-1495,1.6,12
municipal_bus,municipal_bus-1495,municipal_bus-8958,1.2,9
municipal_bus,municipal_bus-8958,municipal_bus-8957,1.8,3
municipal_bus,municipal_bus-8957,municipal_bus-8954,1.8,3
municipal_bus,municipal_bus-8954,municipal_bus-8952,1.9,3
municipal_bus,municipal_bus-8952,municipal_bus-4399,1.6,3
municipal_bus,municipal_bus-4399,municipal_bus-4400,2.2,4
