id,name
33483069,Dufnala (Shahibagh) stop
33481916,Dufnala stop
33483049,Dufnala stop
33481826,Civil Hospital stop
39830125,Exise Chowki (Naroda) stop
39830124,Exise Chowki (Naroda) stop
39830122,G.D.High School stop
33482527,G. D. High School stop
33483758,G.E.B (Naroda) stop
33482528,GD High School stop
33483145,G.Ward stop
33483140,G.Ward stop
477207,GIDC Gate No.5 stop
39830123,GD High School stop
477208,GIDC Gate No.5 stop
477202,GIDC Post Office stop
477201,GIDC Post Office stop
33482812,Galaxy Cinema stop
33483097,Galaxy Cinema stop
39830087,Galaxy Cinema stop
39830086,Galaxy Cinema stop
45394293,Galaxy Cinema stop
143284576,Ganesh Icon stop
143284577,Ganesh Icon stop
33482765,Giradharnagar stop
33482246,Girdharnagar stop
39830088,Gokuldham Society stop
33483035,Girdharnagar stop
39830089,Gokuldham Society stop
33482761,Government Colony stop
33482762,Government Colony stop
45183967,Gopal Park stop
33482243,Government Press stop
33481914,Government Press stop
33483079,Hansol stop
33481578,Gurudwara BRTS stop
45184015,Hanuman Nagar stop
33483092,Hansol stop
45184016,Hanuman Nagar stop
33481579,Hanumanpura BRTS stop
33483054,Hathisingni Wadi stop
33483055,Hathisingni Wadi stop
33483056,Hirabag stop
33483153,I.T.I. Railway under Bridge stop
33483154,I.T.I. Railway under Bridge stop
33483234,Iger Society stop
33483241,Iger Society stop
33483057,Hirabag stop
33483792,Indira Bridge Approach stop
33483796,Indira Bridge Approach stop
46166910,Indira Bridge Approach stop
46166911,Indirabridge Approach stop
143284594,Jain Derasar (Naroda) stop
45184007,Jangsa Area stop
45184008,Jangsa Area stop
46434919,Jivanpran Residency stop
46434920,Jivanpran Residency stop
477211,Kadva Patidar Samajni Wadi stop
45394294,Kailash Complex stop
477212,Kadva Patidar Samajni Wadi stop
45394295,Kailash Complex stop
33482485,Kalapinagar stop
33482818,Kalagi Park stop
33482489,Kalapinagar stop
33482827,Kathwada Phata stop
33482814,Kathwada Phata stop
45341547,Kathwada Turning stop
45184018,Bhagwati School stop
33483076,Garnala stop
33483077,Garnala stop
