route_name,longName,agencyName,transitType,firstStop,lastStop,totalStops,totalDurationMinutes,operatingDays
72,,AMTS 72 Bus,,Vadaj,Sahyadri Bungalow,50,40,everyday
74/1,,AMTS 74/1 Bus,,Lal Darwaja,Kali Gam,48,39,everyday
74,,AMTS 74 Bus,,Vatva Railway Crossing,Andh Kalyan Kendra (New Ranip),81,69,everyday
75,,AMTS 75 Bus,,Maninagar,Vadaj,35,29,everyday
75,,AMTS 75 Bus,,Chandkheda (Sarathi Bunglows),Maninagar,65,61,everyday
76,,AMTS 76 Bus,,Vaishnodevi Circle (Zydus Life),Sarangpur,55,51,everyday
76,,AMTS 76 Bus,,Vaishnodevi Circle (Zydus Life),Vadaj,37,26,everyday
77,,AMTS 77 Bus,,Dr.Shyamaprasad Mukherjee Chowk,Vadaj,36,36,everyday
77,,AMTS 77 Bus,,,,,,
79,,AMTS 79 Bus,,Chenpur Gam,Badrinayan Society,56,54,everyday
79,,AMTS 79 Bus,,Kalupur Terminus,Badrinayan Society,20,18,everyday
79,,AMTS 79 Bus,,Kalupur Terminus,Chenpur Gam,39,36,everyday
82,,AMTS 82 Bus,,Lal Darwaja,Gayatri Vidyalaya,34,26,everyday
83,,AMTS 83 Bus,,Sabarmati D-Cabin,Lal Darwaja,45,39,everyday
83,,AMTS 83 Bus,,Sabarmati D-Cabin,Vadaj,30,24,everyday
84,,AMTS 84 Bus,,Lal Darwaja,Chandkheda (Sarathi Bunglows),53,43,everyday
15-SH,,AMTS 15-SH Bus,,Vivekanandnagar,Maninagar Terminal,28,31,everyday
85-SH,,AMTS 85-SH Bus,,Chandkheda (Sarathi Bunglows),Lal Darwaja,43,41,everyday
85-SH,,AMTS 85-SH Bus,,Chandkheda (Sarathi Bunglows),Subhash Bridge Circle,20,20,everyday
85-SH,,AMTS 85-SH Bus,,Subhash Bridge Circle,Lal Darwaja,25,20,everyday
87,,AMTS 87 Bus,,Kalupur Terminus,Chandkheda Gam,48,46,everyday
88,,AMTS 88 Bus,,Ranip Gam,Kalupur,24,18,everyday
88,,AMTS 88 Bus,,Ranip Gam,Nikol Kathwada Ring Road,49,45,everyday
89/1,,AMTS 89/1 Bus,,Kalupur Terminus,Amba Township Sector-5 (Trimandir),49,60,everyday
89/3,,AMTS 89/3 Bus,,Kalupur Terminus,Chandkheda Gam,29,36,everyday
90-SH,,AMTS 90-SH Bus,,Tragad Gam,Krushnanagar,75,65,everyday
96,,AMTS 96 Bus,,Vatva Railway Crossing,Kutbi Mazar,50,46,everyday
101SH,,AMTS 101SH Bus,,P.D.P.U Cross Road,Asarva Railway Station,47,48,everyday
102,,AMTS 102 Bus,,Lal Darwaja,Akshardham Mandir (Gandhinagar),70,91,everyday
102,,AMTS 102 Bus,,Maninagar Terminal,Akshardham Mandir (Gandhinagar),90,111,everyday
103,,AMTS 103 Bus,,Naroda Terminus,Gujarat University,56,54,everyday
105,,AMTS 105 Bus,,Naroda Industrial Township (Muthiya Gam),Lal Darwaja,44,43,everyday
106,Sarangpur To Sarangpur Via Naroda,AMTS 106 Bus,bus,Sarangpur Terminus,Sarangpur Terminus,67,78,everyday
107,"Sarangpur To Sarangpur Via Ajit Mill, Naroda, Camp Sadar Bazar",AMTS 107 Bus,bus,Sarangpur Terminus,Sarangpur Terminus,70,79,everyday
109,,AMTS 109 Bus,,G.E.B (Naroda),Amba Township Sector-5 (Trimandir),80,88,everyday
109,,AMTS 109 Bus,,G.E.B (Naroda),Shivshakti Nagar (Chandkheda),57,45,everyday
109,,AMTS 109 Bus,,Naroda Terminus,Amba Township Sector-5 (Trimandir),64,70,everyday
109,,AMTS 109 Bus,,Naroda Terminus,Chandkheda Gam,42,33,everyday
109,,AMTS 109 Bus,,Sarangpur Terminus,Naroda Terminus,29,26,everyday
112,,AMTS 112 Bus,,Lal Darwaja,Kubernagar Bungalow,34,28,everyday
116,,AMTS 116 Bus,,Dani Limda Gam,Civil Hospital,27,26,everyday
117,,AMTS 117 Bus,,Paladi-Kankaj Gam,Kalapinagar,57,60,everyday
117,,AMTS 117 Bus,,Miroli Gam,Kalupur Terminus,45,55,everyday
117,,AMTS 117 Bus,,Paladi-Kankaj Gam,Kalupur Terminus,41,47,everyday
117/1,,AMTS 117/1 Bus,,Khod Kamod,Kalupur Terminus,36,39,everyday
117/1,,AMTS 117/1 Bus,,Miroli Gam,Kalupur Terminus,47,55,everyday
117/1,,AMTS 117/1 Bus,,Sarangpur Terminus,Khod Kamod,35,31,everyday
122,,AMTS 122 Bus,,Lal Darwaja,Ambawadi Police Station,44,41,everyday
123,,AMTS 123 Bus,,Vasna Terminus,Sitarambapa Chowk (Gopal Chowk),46,45,everyday
123-SH,,AMTS 123-SH Bus,,Sitarambapa Chowk (Gopal Chowk),Lal Darwaja,36,34,everyday
123-SH,,AMTS 123-SH Bus,,Lal Darwaja,Krishna Nagar,29,28,everyday
123/1,,AMTS 123/1 Bus,,Sarangpur Terminus,Parshwanath Township,23,23,everyday
124,,AMTS 124 Bus,,Vehlal Gam,Maninagar,57,59,everyday
125,,AMTS 125 Bus,,Vehlal Gam,Lal Darwaja,58,73,everyday
125-SH,,AMTS 125-SH Bus,,Vehlal Gam,Naroda Terminus,21,32,everyday
125/1,,AMTS 125/1 Bus,,Naroda Terminus,Dabhoda Gam,41,57,everyday
125/1,,AMTS 125/1 Bus,,Sarangpur Terminus,Dabhoda Gam,67,86,everyday
126,,AMTS 126 Bus,,Sardarnagar,Sarangpur,36,40,everyday
